Hotel,Average_Rating
Boston Marriott Long Wharf,4.833333333333333
Box Tree Inn,
Bradley Motel,1.0
Braeswood Hotel & Convention Center,
Brentwood Inn,5.0
Brickyard Crossing Golf Resort and Inn,5.0
Bridgemont Residence Inn,5.0
Bristol Hotel,4.4645892351274785
Britt Scripps Inn,4.678571428571429
Broadway Hotel and Hostel,4.011152416356877
Broadway Plaza Hotel,4.126721763085399
Broadway Plaza Motel,4.0
Broadway at Times Square Hotel,4.883527454242929
Brookshire Suites,4.602713178294573
Brookwood Inn - Charlotte,4.0
Buckingham Athletic Club,4.148936170212766
Buckingham Hotel,4.65945945945946
Budget Host Hempstead Inn,2.0
Budget Host Inn,3.888888888888889
Budget Host Inn & Suites,2.4
Budget Host Inn Fort Worth,4.0
Budget Inn,3.0
Budget Inn Capitol,1.0
Budget Inn Charlotte,2.5714285714285716
Budget Inn Hollywood,3.1904761904761907
Budget Inn Motel,2.0
Budget Lodge Downtown Phoenix,4.327868852459017
Budget Lodge Inn & Suites,
Budget Lodge of Austin,3.0
Budget Lodge of Memphis,2.0
Budget Lodge of Phoenix,3.230769230769231
Budget Suites of America,2.8
Budget Suites of America San Antonio,3.642857142857143
Budget Suites of America-Dallas,3.272727272727273
Budgetel Inn & Suites,3.5555555555555554
Buena Vista Motor Inn,4.150627615062762
Bulfinch Hotel Boston,4.196428571428571
CLIFT San Francisco,4.445255474452555
Cabrillo Inn & Suites Airport,4.25
Cadillac Hotel,4.1761904761904765
California Suites Hotel,3.6724137931034484
Cambria Suites,4.46218487394958
Camelot Inn & Suites,2.5
Cameron Motel,2.25
Camino Real El Paso,3.8859060402684564
Camino Real Motel,3.0
Candlewood Suites,3.625
Candlewood Suites - Austin Arboretum-Northwest,3.9
Candlewood Suites - Austin South,3.6363636363636362
Candlewood Suites - Charlotte University,4.03125
Candlewood Suites - Dallas Market Center,4.494252873563219
Candlewood Suites - Dallas by the Galleria,4.291666666666667
Candlewood Suites - Fort Worth/Fossil Creek,4.153846153846154
Candlewood Suites - Jacksonville,3.814814814814815
Candlewood Suites - San Antonio NW Medical Center,3.3043478260869565
Candlewood Suites DFW South,4.466666666666667
Candlewood Suites Dallas Park Central,3.4285714285714284
Candlewood Suites East Merril Road,3.8947368421052633
Candlewood Suites El Paso North,4.666666666666667
Candlewood Suites Houston IAH / Beltway 8,3.6363636363636362
Candlewood Suites Houston Medical Center,4.0588235294117645
Candlewood Suites Houston NW - Willowbrook,4.363636363636363
Candlewood Suites Houston West,3.6666666666666665
Candlewood Suites Houston Westchase,3.8461538461538463
Candlewood Suites Houston by the Galleria,3.769230769230769
Candlewood Suites Houston-At Citycentre-Energy Corridor,4.5
Candlewood Suites Houston/Clear Lake,3.7333333333333334
Candlewood Suites I-10 East,4.333333333333333
Candlewood Suites Indianapolis,4.208333333333333
Candlewood Suites Indianapolis Airport,3.75
Candlewood Suites Indianapolis Dwtn Medical Dist,3.7058823529411766
Candlewood Suites Indianapolis East,3.1666666666666665
Candlewood Suites Indianapolis Northwest,4.5
Candlewood Suites Memphis,4.125
Candlewood Suites New York City Times Square,4.479757085020243
Candlewood Suites Phoenix,4.185185185185185
Candlewood Suites Polaris,4.56
Candlewood Suites San Antonio Downtown,4.0
Candlewood Suites San Antonio N - Stone Oak Area,4.035714285714286
Candlewood Suites San Antonio NW Near Seaworld,4.153846153846154
Candlewoods Suites Medical Center,5.0
Canterbury Hotel,4.8478260869565215
Capital Hilton,4.64026402640264
Capital Inn,3.5
Capitol Hill Hotel,4.707602339181286
Capitol Skyline Hotel,3.3227848101265822
Capri Motel,4.182926829268292
Caravelle Inn & Suites,3.0
Carefree Inn Dallas,2.6666666666666665
Carefree Inn Lackland,4.0
Carefree Inn Medical Center,4.043859649122807
Caribbean Cove Hotel & Conference Center,3.5467625899280577
Carl Hotel,4.466666666666667
"Carlton Hotel, Autograph Collection",4.314329738058552
Carlton Inn Midway,4.209302325581396
Carlyle Suites Hotel,4.631487889273356
Carvi Hotel New York,4.448275862068965
Casablanca Hotel Times Square,4.900481540930979
Cassa Hotel & Residences,4.804621848739496
Castle Inn,4.363013698630137
Casulo Hotel,3.8598130841121496
Catamaran Resort Hotel,4.588888888888889
Cavalier's Resort & Conference Center,2.1739130434782608
Cecil Hotel,2.591666666666667
Cedarbrook Lodge,4.706944444444445
Central Inn Motel,1.0
Central Loop Hotel,4.5
Central Park House,3.9
Century Wilshire,1.0
Chambers Hotel,4.8427672955974845
Champions Lodge,1.0
Chancellor Hotel on Union Square,4.8891739353514625
Chandler Inn,4.386792452830188
Channel Inn Hotel,3.9427083333333335
Charlesmark Hotel,4.8088235294117645
Charlotte Express Inn,3.0
Charlotte Inn,
Charlotte Marriott City Center,4.664804469273743
Charlotte Marriott Executive Park,4.269736842105263
Charlotte Marriott SouthPark,4.325301204819277
Chase Suite Hotel El Paso,4.148936170212766
Chateau Hotel,1.0
Chelsea Hotel,4.35
Chelsea Inn - 11th Avenue,2.6
